Resume ID,Job Title,Section,Content
10,operations manager,experience,"02/2010

to
08/2014
Operations Manager

Company Name

ï¼​
City

,
State
Managed a team of four client service officers responsible for day-to-day operations and onboarding process.
Directed and supervised the daily activities of the teams with primary focus in enhancing the client's experience, mitigating risk, and
identifying areas of improvement.
Performed Quality Assurance reviews and approved due diligence reviews completed by the staff.
Collaborated and managed assigned projects with cross-functional teams and departments including data and document collection and
review, technology, sales and other client services groups across the firm.
Coordinated with Front Office, Credit, Compliance, AML compliance and global client onboarding teams to understand client/deal
structure and agree requirements/responsibilities.
Participated in the development and drove implementation of department policies and/or procedures to help improve service and overall
efficiency.
09/2007

to
02/2010
Client Service Manager
Within three months, increased efficiency by 20% by identifying and mitigating outdated manual processes and leveraging technology.
Increased staff performance accuracy levels to 99%.
Managed a team of eight client service officers responsible for servicing our base of Commercial Real Estate clients, Mortgage Servicers,
and Regulated Cash.
Serviced a portfolio of 300 clients with deposits in excess of 80 billion.
Reviewed complex Cash Collateral agreements and client provided documentation to ensure compliance with regulatory and contractual
requirements.
Served as the escalation point for and coordinated the resolution of key issues and complex client concerns and opportunities.
Analyzed complex data for management reporting nationwide on wire and deposit accounts providing adequate information for decision-
making.
Held monthly meetings with senior management to provide updates on all team projects, roadblocks and recommended solutions.
02/2002

to
09/2007
Client Service Manager

Company Name
Built and fostered a proactive workplace environment resulting in a higher level of employee participation and performance.
Supervised a team of seven client service professionals with a primary focus in delivering excellent client service, improving processes, and
leveraging technology.
Partnered with Bankers to collect, analyze, and validate all appropriate due diligence and on-boarding documentation provided by client;
utilized knowledge of AML/KYC policy to independently identify missing or insufficient client due diligence information.
Responsible for reviewing, entering and approving client information in KYC database, conducting OFAC reviews, and escalating findings.
Extensive client contact in partnership with the Bankers to resolve customer concerns in regards to demand deposit accounts, short-term
investments, funds transfers, and sales opportunities.
Actively monitored service delivery for all Services / Product to client (via MIS, internal meetings, and client meetings).
Gregorio Luna, page 2."
103,accountant,experience,"Accountant

October 2012

to
October 2014

Company Name

ï¼​
City
A Destination Management Company based in Dubai) Job Description: Handled high volume of payments including internal and external.
Reviewed supplier invoices to ensure that all
the information appearing on them is accurate and complete and reconciled their statements
after sorting queries.
Maintained listing of accounts payable.
Monitored accounts aging to ensure payments are up to date.
Performed day to day processing of payments by cheques, telegraphic transfers, online transfers, etc.
and
ensured that suppliers are paid within the established time limits in accordance with the company policy.
Overseen daily cash and petty cash transactions and tallying of cash every day.
Prepared month-end account reconciliations primarily bank, accrual and prepaid accounts and post entries.
Ensured the confidentiality and security of all financial files.
Other accounting/finance support as and when required by the management.
Accountant - Payables / Accounting Clerk

April 2011

to
October 2012

Company Name

ï¼​
City
A boutique law firm that specialises in the Corporate, Property and construction business sectors) Job Description: Accounts Payables -
Reviewed invoices to ensure that all the information appearing on them is accurate and
complete.
Verified that payable transactions comply with financial policies and procedures.
Processed transaction
reports (aging, payment, etc.) after data entry.
Maintained listing of accounts payable.
Cash Receipts & Petty Cash Expenses - Managed and controlled cash receipts through proper tracking and ensured that the same is
deposited into bank on a daily basis in order to avoid discrepancies.
Managed daily petty cash expenses and reconciled the physical cash and advances daily.
Bank Reconciliation - Monitored Bank transactions daily to avoid any irregularities and also to ease the bank
reconciliation thus by keeping
the book balance up-to-date.
Accounting Vouchers & Data Entry- Prepared and recorded various vouchers in MYOB software.
Month end closing and Financial Reports - Maintained Fixed Assets master and run monthly depreciation,
passed closing entries and
provided MIS reports (BRS, CFS, Ageing Reports, Commission Statement, etc.).
Finalisation of Accounts and Annual Audit - Assisted Finance Manager by preparing relevant B/S and P&L
schedules as per
auditor's
requirements for the Finalization of Accounts and Annual Audit.
Secretarial - Provided secretarial & administrative support to the Finance Manager as and when required.
Junior Accountant

July 2008

to
April 2011

Company Name

ï¼​
City
A boutique TMT firm set up in the Middle East to cater exclusively for all legal needs of companies or individuals) Job Description: Handled
day to day accounts related jobs including but not limited to:- Invoicing - Prepared and sent timely and accurate invoices to clients by email.
Recorded invoices in the Leap
Accounting Software.
Kept track of Clients' Funds in a separate Trust Account.
Accounts Receivables - Monitored Receivables regularly and worked with clients and A/R team to increase speed
of receivables and
prevented interruption of service to clients that lead to an improvement in the financial
performance of the company.
Managed receivables activities such as cash application, sending follow-up inquiries, negotiating with
past due accounts.
Worked and resolved customer queries in relation with invoices by communicating with the
concerned Fee Earners, participated in weekly
credit control meeting with the Managing Partner.
Accounts Payables - Verified suppliers' invoices, reconciled statements and arranged timely and accurate processing of payments in
accordance with the company's payment strategy, and also arranged advance
payments wherever necessary and kept track of it.
Statutory Payments - Arranged Funds in Advance from clients to pay the statutory payments related to
Trademark/Patent/License
Registration/Renewal before the deadline.
Payroll - Controlled and updated employee records and processed payroll.
Petty Cash - Managed daily cash expenses and verified and tallied physical cash balance.
Accounting Vouchers - Prepared, maintained various vouchers and recorded in Leap Accounting software.
Financial Reports - Assisted Finance Manager in preparing monthly financial reports.Secretarial - Performed other secretarial duties related to the Accounting Department.
Accountant cum Secretary

August 2005

to
July 2008

Company Name

ï¼​
City
A General Trading company dealing in import and export of porcelain, melamine and stainless steel cookware,
crockery & computers and
computer peripherals) Job Description: Bookkeeping - Performed daily accounting activities and ensured financial transactions are captured
in proper
accounts in Tally Accounting software.
Analyzed and reviewed accounting provisions to ensure expenses are
promptly regularized.
Maintained General Ledger, Trial Balance, P & L A/c and Balance Sheet.
Purchasing and clearance of shipments - Placed local and overseas purchase orders under supervision and
coordinated clearance of Import
Shipments and arranged payments through cheques, bank transfer,
documentary collection, letters of credit, etc.
Costing: Ascertained various costs to calculate the sales price of the products.
Sales - Actively supported company sales team and coordinated sales details and ensured deliveries were carried
out as agreed with
customers.
Invoicing - Timely preparation and dispatch of invoices and monthly sales analysis as well as sales reports.
Cash Management - Managed cash receipts and petty cash expenses.
Letter of Credit - Assisted in opening of L/Cs, review and follow up on opened L/Cs.
Bank - Monitored bank transactions daily and performed bank reconciliation.
Finalisation of Accounts & Annual Audit - Provided monthly and annual Financial Reports to management and
liaised
with the Auditors.
Administration - Provided administrative and secretarial support in order to ensure the effective and efficient office
operations.
Liaised with Banks, Insurance Agencies, Creditors and Customers as part of day to day operation."
106,finance director and treasurer,experience,"Finance Director and Treasurer

,
09/1998

to
09/2008

Company Name

â€“
City

,
State

Supervise all units in the Finance Department including revenue, budget, purchasing, general ledger accounting, accounts payable and
receivable, payroll and utility billing.
Direct the treasury functions for the City and South County Regional Wastewater Authority (SCRWA), including the preparation and
review of periodic investment reports and the oversight of the City's investment portfolio.
Performed qualitative and quantitative analysis of alternatives for addressing the City's unfunded pension liability.
Review of retroactive payroll calculations for fire, safety and exempt personnel.
Coordinate the financial audit.
Direct the preparation and comprehensive review of the annual City financial report, SCRWA financial report and the Transportation
Development Act report.
Review of routine and one-time journal entries, while concluding whether the accounting used was in accordance with governmental
accounting standards.
Search for potential grants for all departments.
Preparation of several operating budgets.
Assist in the management and maintenance of public facility and pass-through bonds.
Partnered successfully with
[departments, clients]

to produce
[positive outcome]
.
Initiated rollout of new enterprise software solution for sales reporting.
Trained, coached and mentored staff to ensure smooth adoption of new program.
Financial Services Officer/Budget Officer

,
10/1997

to
09/1998

Company Name

â€“
City

,
State

Management of fiscal duties, provision of complex staff assistance to esponsible for all SEC and external financial reporting for Calpine
Corporation.
Extensive direct experience with the SEC, including correspondences and conference calls with the Division of Corporation Finance, the
Office of the Chief Accountant and the Division of Enforcement.
Designed, implemented and managed the Sarbanes-Oxley program for the Company's SEC reporting, including controls documentation and
coordination with internal and external auditors.
Lead role in public filings of senior notes, convertible debt, zero-coupon debentures, lease obligation bonds and equity.
Total deal experience of approximately $20 billion.
Author and file Forms 10-K, 10-Q, 8-K and related 1934 Act forms.
Ensure compliance with international filing requirements.
Review stand-alone financial statements for subsidiaries, including an SEC registrant.
Assist management in preparing for quarterly analyst calls with comprehensive financial and operating information.
Draft quarterly earnings releases and review power point presentations for analyst call presentations.
Calculation of earnings per share and other key financial measures on a monthly basis.
Support Investor Relations and Public Relations in answering financial questions from institutional and retail investors and the media.
Research sensitive accounting issues and provide technical support to corporate accounting group and to regional controllers.
Frequent interface with Legal, Human Resources, Financial Planning and Analysis and Treasury/Compliance.
Primary contact with external auditors for comfort letters for securities offerings.
Management of accounting for interest rate swaps under SFAS 133.
Responsible for ensuring consistency of application of capitalized interest under SFAS 34.
Responsible for Stock Administration.
Senior Auditor

,
01/1997

to
03/2000

Company Name

â€“
City

,
State

Client base included"
107,finance officer,experience,"11/2014

to
Current
Finance officer

Company Name

â€“
City

,
State

Monitor the financial system of Grant Answers by using Turbo Cash and Microsoft Excel.
Assist with the arrangement of the budget.
Prepare income statements and balance sheets.
Maintained integrity of general ledger, including the chart of accounts.
Optimized and managed research and development spending through collaboration with key business leaders.
04/2014

to
Current
Teller

Company Name

â€“
City

,
State

â€¢Â Â Â Â Â Â  Process customer transactions while engaging in conversation in order to provide pleasing customer service and to detect
possible fraud
â€¢Â Â Â Â Â Â  Inform customers about our products that may suit their needs as well as cross-sell bank products and services
â€¢Â Â Â Â Â Â  Manage the bank's vault to verify balances
â€¢Â Â Â Â Â Â  Resolve discrepancies in accounts while assuring comfort to our customers
Â â€¢Â Â Â Â Â Â  Hold a weekly meeting with the branch manager in order to learn more about our products and enhance my performance
Â â€¢Â Â Â Â Â Â  Attend corporate events
10/2012

to
11/2013
Sales Associate

Company Name

â€“
City

,
State

04/2012

to
10/2012
Sales Associate

Company Name

â€“
City

,
State

Trained and supervised seasonal employees on job function, company's policies/procedures.
Determined customers' needs by interacting with them and provided suggestions and alternatives.
Helped customers with questions, problems and complaints in person and via telephone.
Organized racks and shelves to maintain the visual appeal of the store.
Stocked and replenished merchandise according to store merchandising layouts.
Educated customers about the brand to incite excitement about the company's mission and values.
Shared best practices for sales and customer service with other team members to help improve the store's efficiency.
09/2011

to
11/2013
Secretary/Senator

Company Name

â€“
City

,
State

Provided administrative and executive services in order to make sure everything operated smoothly for the senators and the executive board by
managing the calendar/agenda, by preparing reports and spreadsheets.
â€¢Â Â Â Â Â Â  Â​Spoke on behalf of the student body and interacted with many students in order to make decisions that will benefit the
majority
â€¢Â Â Â Â Â Â  Â​Announced updates that have been made to senators, faculty and staff through Microsoft Outlook
â€¢Â Â Â Â Â Â  Used Microsoft Word to record and distribute minutes of Executive board and senate meetings
â€¢Â Â Â Â Â Â  Created charts and power points with Microsoft Excel and Microsoft PowerPoint to organize and update meetings, committee
reports,Â​ and organize budgetsÂ
07/2011

to
07/2012
Sales Associate

Company Name

â€“
City

,
State

Utilized effective interpersonal skills to meet the needs of customers.
Processed shipment deliveries and restocked clothing and accessories.
Organized, displayed and processed thorough knowledge regarding the merchandised offered for sale.
01/2010

to
01/2013"
108,"personal trainer, group fitness instructor",experience,"working with international partners for combine regional security initiatives. Trained and experienced strategic and tactical planner for joint and
combined military contingency exercises. Health and fitness professional of eight years and strong motivator of groups to improve health and
wellness through self-regulation principles.
Personal Trainer, Group Fitness Instructor

January 2015

to
Current

Company Name

ï¼​
City

,
State
Created group fitness routines and implemented high impact cardiovascular endurance, strength, core and balance classes. Maintained high
attendance and promoted additional class involvement. Expanded certifications to include Insanity Live and Silver Sneakers.
Run an online health and fitness accountability group. Inspired health changes and exercise promotion to a 10 member group. Provided self-
regulation and behavioral adaptations for health and fitness.
Intelligence Planner

May 2012

to
September 2013

Company Name

ï¼​
City

,
State
Identified intelligence requirements and threats to assets for operations and contingencies in the central and South America; experienced
briefing executives.
Provided analysis for courses of action selection and positioning of forces in conjunction with representatives from Peru, Brazil, Colombia
and joint forces in multiple combatant command operations.
Personally evaluated three Honduran intelligence units; identified areas for improvement and essential milestones in the regional mission of
countering transnational organized crime.
Developed syllabus and instruction materials for mobile training team for a Peruvian intelligence unit, and provided threat awareness training
materials to Colombian air and ground forces.
Reviewed joint publications and orders for accuracy and clarity and made significant contributions to joint publications for changes in
content. Drafted intelligence plans for combatant command exercises.
Intelligence Officer

November 2011

to
May 2012

Company Name

ï¼​
City

,
State
Leader of four man team, analyzed threats, prepared aircrew, drafted and reviewed over 2000 mission reports. Coordinated critical
materials with six international partners for high value targets.
Upheld security protocols for sensitive compartmentalized intelligence facility. Regained access to four critical systems. Surveyed aircrew
credentials monthly to ensure qualification for access to platforms mission and capability. Prepared four members with 12 hours of training
to gain mission readiness.
Directed the production of 14 advanced aircraft academic briefings to maintain mission readiness for 94 pilots. Developed method to report
significant events in the threat area and improved threat awareness.
Intelligence Officer

November 2009

to
May 2012

Company Name

ï¼​
City

,
State
Mentored eight intelligence personnel; informed leadership of threats to assets at deployed locations. Selected to brief high level officers and
Congressional Representative on the capabilities of the unit.
Reorganized manuals and checklists in preparation for operating inspection. Created continuity for new intelligence support position on
Commanders Action Team.
Oversaw career development training of four airmen to receive on time or early mission qualification. Over 240 hours of sophisticated
training including radar theory, history, tactics, and presentation skills.
Authored and presented over 50 threat briefings in support of combat search and rescue exercises, weapons instructor course, and dailypilot threat proficiency training.
Managed informational, physical, and personnel security for 200 personnel. Updated security operating instructions. Ensured all personnel
met background investigation requirements and mission qualification.
Physical fitness leader for 20 personnel. Organized and led challenging fitness program that produced a 100% pass rate for the flight and
increased scores by 25%. Personnel remained mission ready.
Showed ability to organize, manage, and adapt by successfully organizing the Air Force Assistance Fund annual donation for the installation
of over 10,000 personnel, raising $68,000 in a two month period.
Recovered 27,000 pages of historicaldocuments covering over 50 years of 23 Fighter Group heritage and submitted historical material to
the Air Force Historical Review Agency.
Personal Trainer & Group Fitness Instructor

March 2007

to
January 2009

Company Name

ï¼​
City

,
State

Created specialized wellness programs for clients. Included challenging cases of
extreme obesity, debilitating illness (scoliosis, epilepsy), mental illness (depression and anxiety), and injury."
113,financial accountant,experience,"01/2016

to
Current
Financial Accountant

Company Name

ï¼​
City

,
State
Monitor the net capital of the bank using daily controls.
Calculate monthly fees for the client's account maintenance on a monthly and quarterly basis.
Provide various analyses (variance, intercompany, balance sheet, P&L) using SAP and Avaloq.
Enhance the consolidation reporting in IFRS by optimising the flux of information.
Collaborate with the Finance team to provide accurate and timely month end reporting by setting up and maintaining planning and task lists.
07/2015

to
12/2016
Business Analyst

Company Name

ï¼​
City

,
State
Provided accurate information for month end journal adjustments for provisions related to Lombard credits, non-performing loans,
impairments, deposit accounts and taxes by analysing account activities during the period required.
Management of transaction error accounts by collaborating with reconciliations cash department to improve the account clearing process.
09/2014

to
12/2014
Financial Accountant

Company Name

ï¼​
City

,
State
Provided reports on the monthly securities position reporting and breaks.
Performed regulatory reporting for the group and management by analysing the short term liquidity ratio, minimal reserves, capital adequacy,
comprehensive balance sheet, interest rate, retrocessions and expenses.
Used the reconciliation process to analyse and clear the daily cash account, breaks, fees, interests, expenses and accruals.
Prepared various financial reporting schedules (daily control, earning analysis, etc)
Collaborated with IT team in group projects to update systems and other various projects.
06/2014

to
09/2014
Accountant Analyst

Company Name

ï¼​
City

,
State
Performed accounts analysis on the balance sheet and P&L to provide explanations for the variances, reconciliations, intercompany and
accounting close related tasks.
06/2013

to
12/2013
Project Accountant & Administrator

Company Name

ï¼​
City

,
State
Participated in leading SAP B1 implementation by setting up the organisation structure, planning and creating the testing scenario.
06/2012

to
05/2013
Senior Financial Accountant

Company Name

ï¼​
City

,
State
Prepared financial and regulatory reports required by laws, regulations or board of directors in US GAAP.
Tracked all intellectual property and royalty spending against approved requests and payments.
Analysed costs and revenues related to logistics.
12/2011

to
05/2012
Accountant

Company Name

ï¼​
City

,
State
Maintained full responsibility of monthly and quarterly financial statement preparation for two subsidiaries.Collaborated with Auditors, Banks, Tax returns & VAT
IFRS reporting to provide accurate reports and analysis.
06/2009

to
12/2009
Cost Analyst

Company Name

ï¼​
City

,
State
Prepared p
ayroll costs and headcount reporting.
Prepared and booked the operating expenses accruals.
Prepared cost centre reports for the local and head office.
Prepared monthly and annual expense forecasts, including any necessary recommended action required to manage costs to achieve budget.
06/2008

to
11/2011
Financial Control Analyst

Company Name

ï¼​
City

,
State
Managed accounting operations, accounting close, account reporting and reconciliations for 3 entities.
07/1996

to
11/2007
Consultant in Finance / Administrative Support

Company Name

ï¼​
City

,
State
Roles in different industries: Food and beverages, IT, Financial services.
Â Â Â Â Â Â Â Â Â  Specialisation in implementation of new organisational structures."
114,senior vp - information technology,experience,"Senior VP - Information Technology

08/2014

to
09/2015

Company Name

City

,
State
Experienced technology leader with expertise in managing all aspects of front and back office systems in the Financial Services Industry.
A solid leader who can utilize his diverse background of information technology and business management skills to create winning teams to
support mission-critical infrastructure SVP, Head of Technology Infrastructure U.S.
Direct information technology operations for a global Institutional sales, trading firm specializing in high yield and distressed debt, convertible
bonds, international bonds, investment grade debt and asset-backed securities Coordinated relocation and setup of our primary NYC office
location to a new office space, which included an entire hardware refresh for all network and desktop equipment Led migration of the
existing legacy site-to-site VPN network in the U.S which consisted of 6 branch offices to the Toronto based MPLS network in conjunction
with NYC office relocation Managed implementation of a NJ data center for high availability for critical U.S.
trading operations, and migrated direct client wires to the data center Implemented a VM environment which reduced hardware, energy,
and licensing costs saving $1.5M in capital expenditure Managed the migration of legacy PBX telecommunications system and implemented
VoIP and video conferencing Coordinated setup and configuration of 3 new branch offices in Houston, TX, Stamford, CT, and New
Orleans, LA Implemented disaster recovery plan which would make the Stamford, CT branch office the DR site for the NYC office
Managed and negotiated all new and renewal vendor support contracts Managed Bloomberg terminal contracts and FIX connections for
SSEOMS equity trading, and TOMS sell-side fixed income and derivative trading Member of the GMP steering committee for the
approval, planning, and prioritization of all future IT projects.
Chief Information Officer

01/2006

to
08/2014

Company Name

City

,
State
Managed technology for an institutional trading firm, specializing in Fixed Income and Equities products.
Responsible for strategy, support and technology initiatives in a dynamic trading environment resulting in maximum system availability and
responsive customer support.
Worked very closely with Fixed Income and Equities traders, sales, analysts and senior management.Motivated direct reports and instilled a culture of teamwork to aid in the support and administration of a shared network and
telecommunications infrastructure for both firms with 8 branch offices in the U.S Established policies and procedures and implemented a
change control process to iron out all issues related to all new hardware and software rollouts Managed and negotiated all new and renewal
IT related contracts with various vendors Successfully implemented and provided managerial oversight for a disaster recovery and business
continuity plan Facilitated weekly meetings with upper management to communicate project status, targets, and issues Negotiated and
implemented a new order management trading system and coordinated the migration of existing FIX connections to the new OMS Managed
the successful replacement of core infrastructure appliances and negotiated costs with the vendor given the limited budget, and coordinated
the design and construction of a more powerful UPS for the core infrastructure providing 3 hours of up-time in the event of a power outage
to allow mission critical systems to remain functioning until main power is restored Planned and implemented the replacement of legacy web
security appliances with Cisco ASA and IronPort appliances reducing network vulnerability, and allowing traders secure remote access to
network resources Upgraded all primary and secondary network circuits due to the growing business relieving network latency issues.
IT Support Manager
02/2001

to
06/2006

Company Name

City

,
State
Worked directly with vendors to implement/upgrade market data software and hardware Coordinated a successful PC hardware and
operating system upgrade for all branch offices Managed and administered the upgrade of the Microsoft Exchange email system which
included hardware replacement and server software upgrades Managed daily and incremental backups of critical files, and mail servers, and
coordinated off-site storage of backup tapes Set standards and ordered equipment for the firm including PCs, servers and network
peripherals Managed market data entitlements, FIX connections and new systems for all traders Participate in FINRA and 'in-house' audits,
requests and regulation requirements."
115,branch logistics manager,experience,"04/2016

to
07/2016
Branch Logistics Manager

Company Name

ï¼​
City

,
State
Managed team of 7Â professionals.
Ensure timely and accurate delivery of products.
Compliance control with all applicable regulatory requirements including, but not limited to, providing documents for the driver qualification
file and abiding by hours of service, daily log, hazardous materials (placarding, training and shipping papers), daily vehicle inspections and
reports, and maintenance regulations.
Scheduled delivery drivers on a daily and on-call basis.
Completed daily route preparation.
Allocated additional routes as patient and referral requests are received.
Occasionally performed warehouse employee's responsibilities if there is a temporary shortage of warehouse employees.
Performed special projects such as researching methods to improve productivity and cut costs in the branch distribution function.
Troubleshot problems regarding the shortages of delivery employees staff, routes, and the loading of equipment.
Monitored and/or maintained close contact with delivery employees throughout day to ensure routes were completed in a timely and
accurate manner.
Certified delivery trucks were properly and efficiently loaded.
DelegatedÂ Logistics employees with special orders and equipment.
Assisted Logistics employees with the loading of trucks when necessary.
Maintained daily vehicle maintenance logs and documentation of incident reports.
Maintained proper levels of stock in warehouse to ensure maximum profitability.
Responds to telephone calls from patients, referral sources, vendors and delivery employees regarding equipment orders, patient problems
and delivery employee incidents.
Managed multiple branch locations as needed.
Performed other duties as required.
Supervised a team of primarily nonexempt employees.
Responsible for hiring, coaching, and performance management of subordinate staff.
Ensures that all direct reports and their subordinates are maintaining acceptable performance levels.
Conducted staff meetings regularly to review new business requirements.
02/2012

to
02/2015
General Manager

Company Name

ï¼​
City

,
State
Managed club to meet or exceed monthly sales quotas of 60% or higher sales average.
Hired, developed, and promoted new employees.
Headed daily staff sales training and developing.
BoostedÂ motivation and energy levels within team.
ManagedÂ and maintain a positive work environment.
Recruit and establish 1 - 2 Corporate membership for small to large corporations per week.
Recruiting potential members utilizing outdoor marketing - tents and corporate onsites
Delegate and monitor daily tasks to staff members
Developed a club success report meeting or exceeding a 60% daily sales quotas average.
Communicated with member / non Â​ member telephone inquires
Assisted Operations ManagerÂ in resolving member complaints
02/2011

to
02/2012
Sales Manager/Assistant Manager

Company Name

ï¼​
City

,
State
Managed sales consultants to assure weekly and monthly quotas were exceeded.
Attended walk ins and appointments who inquired on memberships.
Acquired and established memberships for new members.
Established Corporate memberships for large corporations.
Assisted General Manager in all membership corrective measures as needed.
Delegated daily tasks to staff members.
Assisted General Manager resolving member complaints.Assisted with weekly and monthly staff meetings.
01/2008

to
01/2012
Personal Trainer/Aerobics Instructor

Company Name

ï¼​
City

,
State
01/2003

to
01/2008
SUSPENSE SPECIALIST

Company Name

ï¼​
City

,
State
Researched and resolved, simple to complex suspense items rejected to the Suspense Database.
Performed maintenance, completed deposit adjustments, inputted required journalization and other V - system transactions, as appropriate.
Determined the required actions to prevent subsequent/future suspense items and initiate those actions.
Documented all errors on a Quality Feedback database.
Identified, analyzed and communicated processing trends and provided feedback to internal and external customers such as financial
advisors, external clients such as clients and group clients.
Documented required corrective actions for individual/group premium reversals.
Researched and responded to inquiries from internal/external clients in AWD.
Monitored aged outstanding General Ledger items to ensure aging did not pass the 30 day window.
Worked with team members to clear outstanding items in the general ledger, as needed.
Determined type of non-client secured application required and requested set-ups by New Account Unit ( starter, skeleton, clone, default
accounts).
Developed and maintained an extensive and detailed knowledge/understanding of all default indicator codes tied to suspense items.
Developed and maintained an extensive and detailed understanding of the billing related impacts for all processing methods to suspense.
Actively apply this knowledge to clearing of suspense items, as appropriate.
Researched and initiated communications with AIG Financial Advisors through New Business Center to obtain required information
regarding participant application issues.
Identified and initiated updates to client information related to social security and/or name changes.
Researched and processed check disbursements requested to multiple payee types through the SAP Check Disbursement System.
Produced and generated daily, weekly, monthly, team management reporting information, as needed.
01/2000

to
01/2003
CONTRIBUTION SPECIALIST

Company Name

ï¼​
City

,
State
Processed contributions that were received through e-Remit website.
Reviewed bill history to determine correct bills to be pulled to process contributions with correct bill.
Uploaded media (reel tapes, cartridges, and diskettes) into TSO.
Opened format 13 files in Excel and made necessary changes to the file if needed.
Once the file was uploaded - viewed files through V - system to make all necessary changes to files.
Changes included - added a participant to the file that may have not been added, adjusted columns and added characters that were missing
on the file.
Transmitted files through V - system Received and matched bills to the deposits so that files could process.
Recreated bills that were needed, but were not available for processing payroll dates.
Created input forms and entered all information for group contributions on the Tape Batch tracking database.
Resolved Out of Balance of transmitted files.
Increased and decreased deposits that were short of over the deposit to balance.
Added, deleted, and changed participants on files that have been transmitted."
116,hr assistant,experience,"03/2016

to
Current
Company Name

ï¼​
City

,
State
Sourced, recruited for call center to all departments throughout the company.
Responsible for finding the right candidates and matching them to temporary
or permanent job placement for the company.
Maintaining computer system by updating and entering data in BrassRing an responsible for complete on boarding and exit interview
paperwork.
Compiling reports and spreadsheets in order to keep track of drug test and background checks that are completed for on-boarding
process.
Complete initial phone interviews to evaluate applicants' qualifications.
Scheduling job
interviews for field managers after seeing that applicant meet the job requirements.
Administer and manage scores tests given to applicants before making the job offer.
Help organize job fair and manage files for applicants that are not qualified.
Circle K -Naples, FL Provides convenient services to the community.
02/2011

to
10/2014
HR Assistant
Maintained employee compensation, benefits, PTO, timecards and promotion opportunities.
Explained and held trainings for new and existing employees on benefit programs and company rules and regulations.
Managed Background Checks from ordering paperwork to documenting
results in the system.
Requested and completed spreadsheet for drug tests results.
Managed internal Human Resources records for two stores and oversaw all investigations
and disciplinary actions.
Completed exit interview paperwork.
Managed and processed time card for payroll processing by manager in a timely manner.
Processed new hire paperwork, completed on-boarding process and managed their records.
Involved in hiring process by coordinating job posting on the website, reviewing resumes, and performing telephone interviews and
reference checks.
Further developed strong communication and customer service skills as result of working with clients.
01/2007

to
01/2010
AR/AP Representative

Company Name

ï¼​
City

,
State
Leading orthopedic medical device company Processed invoices and credit memos in accurate in timely manner.
Review documents for product returns and loaner fees.
Solveed incorrect billing, back up cash applications.
Made collection calls to clients periodically Lien, Waiver and NTO.
Processed invoice through payment cycle.
Insured that all venders are paid in a timely manner.
Reconciliation of vendors.
Managed vendor/supplier relations; and oversaw the timely, accurate processing of invoices, purchase orders, expense reports, credit
memos and payment transactions.
01/2004

to
01/2007
Office Assistant

Company Name

ï¼​
City

,
StateElectrical company Updated the database with customer calls.
Worked with NTO vender helped with reconciliation and ledger Balanced and transmitted daily revenue.
AR/AP Filling lien, waiver and managed collection.
Coordinated complex travel schedules, accommodations and trip logistics for candidates.
Entered personnel and subcontractor data into a central database.
Evaluated timecards for accuracy on the regular and overtime hours."
122,accountant,experience,"Company Name

August 2011

to
Current

Accountant

City

,
State
Responsible for consistent, accurate and timely period end close Calculate, process and analyze journal entries and accruals Maintain
general ledger for multiple entities worldwide Prepare account reconciliations for multiple accounts across multiple entities Work as member
of team to prepare 10-Q and 10-K reports Prepare XBRL instance document for submission to SEC Responsible for completion of
various U.S.
Government surveys Monthly sales tax reporting.
Company Name

April 2007

to
July 2011

Accountant

City

,
State
Supported company ownership by providing accounting insight and technical knowledge Responsible for all accounting functions, including
AR, AP, GL, payroll, period-end close processes, account reconciliations and sales tax reporting Monitor accurate and appropriate
recording of revenues and expenses Monitor cash
flow and balances; project future cash balances and
needs Monitor and analyze monthly
operating results against budget Professional Experience, cont.
Company Name

January 2006

to
October 2006

Staff Accountant

City

,
State
Maintained general ledger for multiple clients Prepared journal entries and adjusting journal entries Responsible for monthly reconciliations
Prepared financial statement compilations Prepared individual income tax returns Calculated and prepared monthly payroll deposits
Prepared quarterly and annual payroll reports for multiple clients Prepared annual Form 1099 for multiple clients Assisted in preparation of
financial and operating reports."
