Resume ID,Company,Dates,total_gap_years,gap_greater_equal_2_years
10,"['Operations Manager\n\nCompany Name\n', 'Client Service Manager\nWithin three months, increased efficiency by 20% by identifying and mitigating outdated manual processes and leveraging technology.\n', 'Client Service Manager\n\nCompany Name\n']","['2010to2014', '2007to2010', '2002to2007']",0,False
103,"['Accountant\n\nCompany Name\n\n', 'Accountant - Payables / Accounting Clerk\n\nCompany Name\n\n', 'Junior Accountant\n\nCompany Name\n\n', 'Accountant cum Secretary\n\nCompany Name\n\n']","['2012to2014', '2011to2012', '2008to2011', '2005to2008']",0,False
106,"['Finance Director and Treasurer\n\n,\n', 'Financial Services Officer/Budget Officer\n\n,\n', 'Senior Auditor\n\n,\n']","['1998to2008', '1997to2000', '1997to1998']",0,False
107,"['Finance officer\n\nCompany Name\n', 'Teller\n\nCompany Name\n', 'Sales Associate\n\nCompany Name\n', 'Sales Associate\n\nCompany Name\n', 'Secretary/Senator\n\nCompany Name\n', 'Sales Associate\n\nCompany Name\n', 'Organized, displayed and processed thorough knowledge regarding the merchandised offered for sale.\n01/2010\n\nto\n01/2013']","['2014to2024', '2014to2024', '2012to2013', '2012to2012', '2011to2013', '2011to2012', '2010to2013']",0,False
108,"['wellness through self-regulation principles.\nPersonal Trainer, Group Fitness Instructor\n\n', 'regulation and behavioral adaptations for health and fitness.\nIntelligence Planner\n\n', 'content. Drafted intelligence plans for combatant command exercises.\nIntelligence Officer\n\n', 'significant events in the threat area and improved threat awareness.\nIntelligence Officer\n\n', 'the Air Force Historical Review Agency.\nPersonal Trainer & Group Fitness Instructor\n\n']","['2015to2024', '2012to2013', '2011to2012', '2009to2012', '2007to2009']",0,False
113,"['Financial Accountant\n\nCompany Name\n', 'Business Analyst\n\nCompany Name\n', 'Financial Accountant\n\nCompany Name\n', 'Accountant Analyst\n\nCompany Name\n', 'Project Accountant & Administrator\n\nCompany Name\n', 'Senior Financial Accountant\n\nCompany Name\n', 'Accountant\n\nCompany Name\n', 'Cost Analyst\n\nCompany Name\n', 'Financial Control Analyst\n\nCompany Name\n', 'Consultant in Finance / Administrative Support\n\nCompany Name\n']","['2016to2024', '2015to2016', '2014to2014', '2014to2014', '2013to2013', '2012to2013', '2011to2012', '2009to2009', '2008to2011', '1996to2007']",0,False
114,"['Senior VP - Information Technology\n\nCompany Name\n\n', 'Chief Information Officer\n\nCompany Name\n\n', 'IT Support Manager\nCompany Name\n\n']","['2014to2015', '2006to2014', '2001to2006']",0,False
115,"['Branch Logistics Manager\n\nCompany Name\n', 'General Manager\n\nCompany Name\n', 'Sales Manager/Assistant Manager\n\nCompany Name\n', 'Personal Trainer/Aerobics Instructor\n\nCompany Name\n', 'SUSPENSE SPECIALIST\n\nCompany Name\n', 'CONTRIBUTION SPECIALIST\n\nCompany Name\n']","['2016to2016', '2012to2015', '2011to2012', '2008to2012', '2003to2008', '2000to2003']",0,False
116,"['Company Name\n\nï¼\u200b\n', 'HR Assistant\nMaintained employee compensation, benefits, PTO, timecards and promotion opportunities.\n', 'AR/AP Representative\n\nCompany Name\n', 'Office Assistant\n\nCompany Name\n']","['2016to2024', '2011to2014', '2007to2010', '2004to2007']",0,False
122,"['Company Name\n\nAccountant\n\n', 'Company Name\n\nAccountant\n\n', 'Company Name\n\nStaff Accountant\n\n']","['2011to2024', '2007to2011', '2006to2006']",0,False
